Rk,Player,Age,G,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc
1,Nikola Jokić,27,5,5,206,.672,.625,6.0,29.8,19.4,30.7,1.0,2.9,13.1,30.1,129,102,27.7
2,Jamal Murray,25,5,5,211,.551,.516,3.2,12.0,8.1,37.7,1.3,0.0,14.9,25.7,113,109,18.0
3,Aaron Gordon,27,5,5,178,.641,.656,6.5,16.7,12.0,13.4,1.2,1.5,5.2,15.6,133,108,13.5
4,Bruce Brown,26,5,0,134,.561,.533,4.4,13.9,9.5,6.2,2.0,2.6,13.6,20.9,101,106,8.2
5,Michael Porter Jr.,24,5,5,147,.390,.362,6.0,23.5,15.8,4.4,0.0,1.1,3.1,20.6,88,106,5.9
6,Kentavious Caldwell-Pope,29,5,5,171,.504,.435,3.0,7.9,5.8,5.5,2.2,3.1,9.8,11.3,106,107,6.4
7,Christian Braun,21,5,0,82,.692,.706,6.4,7.0,6.7,11.7,3.3,2.1,12.5,13.7,126,104,6.0
8,Jeff Green,36,5,0,65,1.031,1.000,2.3,1.5,1.9,8.3,0.8,0.0,14.7,10.2,169,116,4.1
9,Thomas Bryant,25,1,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,113,0.0
10,Vlatko Čančar,25,1,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,113,0.0
11,Reggie Jackson,32,1,0,1,.000,.000,0.0,63.1,38.1,84.6,0.0,0.0,0.0,33.1,62,89,0.3
12,DeAndre Jordan,34,1,0,3,,,0.0,0.0,0.0,0.0,0.0,26.1,,0.0,,84,0.7
13,Zeke Nnaji,22,1,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,113,0.0
14,Peyton Watson,20,1,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,113,0.0
,Team Totals,26.7,5,,1200,.585,.550,23.9,79.7,55.2,64.5,6.8,9.2,12.0,,114.7,105.7
